molecule_id,smiles,type,units,value,molecular_weight,pIC50
CHEMBL100370,N[C@@H](CCNCc1ccc(Cl)cc1)C(=O)N1CC=CCC1,IC50,nM,148000.0,307.82500000000005,3.8297382846050425
CHEMBL100715,NCC[C@H](NCc1ccccc1)C(=O)N1CCCCC1,IC50,nM,1000000.0,275.396,3.0
CHEMBL101401,NC(N)=NCC[C@H](N)C(=O)N1CCCCC1,IC50,nM,545000.0,227.31199999999993,3.2636034977233574
CHEMBL101656,NCC[C@H](N=C(N)N)C(=O)N1CCCCC1,IC50,nM,1000000.0,227.31199999999995,3.0
CHEMBL1082345,Cl.N#C[C@@H]1CCCN1C(=O)CN[C@@H]1C[C@@H]2C[C@H](OC(=O)Nc3ccccc3)C[C@@H]2C1,IC50,nM,121.0,432.95200000000017,6.91721462968355
CHEMBL1082346,CO[C@@H]1C[C@H]2C[C@@H](NCC(=O)N3CCC[C@H]3C#N)C[C@H]2C1.Cl,IC50,nM,27.0,327.85600000000005,7.568636235841013
CHEMBL1082347,CO[C@@H]1C[C@H]2C[C@H](NCC(=O)N3CCC[C@H]3C#N)C[C@H]2C1.Cl,IC50,nM,27.0,327.85600000000005,7.568636235841013
CHEMBL1082348,CO[C@H]1C[C@H]2C[C@H](NCC(=O)N3CCC[C@H]3C#N)C[C@H]2C1.Cl,IC50,nM,47.0,327.85600000000005,7.327902142064283
CHEMBL1082350,CC(=O)O[C@H]1C[C@H]2C[C@@H](NCC(=O)N3CCC[C@H]3C#N)C[C@H]2C1.Cl,IC50,nM,32.0,355.86600000000004,7.494850021680094
CHEMBL1082462,CC(C)(CC(=O)N1CCCC1)NCC(=O)N1C[C@@H](F)C[C@H]1C#N,IC50,nM,5.0,324.40000000000003,8.301029995663981
CHEMBL1082463,CC(C)(CC(=O)N1CC[C@@H](O)C1)NCC(=O)N1C[C@@H](F)C[C@H]1C#N,IC50,nM,21.0,340.39900000000006,7.6777807052660805
CHEMBL1082464,CC(C)(CC(=O)N1CC[C@H](O)C1)NCC(=O)N1C[C@@H](F)C[C@H]1C#N,IC50,nM,50.0,340.39900000000006,7.301029995663981
CHEMBL1082465,CC(C)(CC(=O)N1CC[C@@H](F)C1)NCC(=O)N1C[C@@H](F)C[C@H]1C#N,IC50,nM,39.0,342.39000000000004,7.4089353929735005
CHEMBL1082653,CO[C@H]1C[C@H]2C[C@@H](NCC(=O)N3CCC[C@H]3C#N)C[C@H]2C1.Cl,IC50,nM,8.0,327.85600000000005,8.096910013008056
CHEMBL1082654,CCO[C@H]1C[C@H]2C[C@@H](NCC(=O)N3CCC[C@H]3C#N)C[C@H]2C1.Cl,IC50,nM,59.0,341.883,7.229147988357855
CHEMBL1082707,N#C[C@@H]1CCCN1C(=O)CN[C@@H]1C[C@@H]2CN(C(=O)N3CCCC3)C[C@@H]2C1,IC50,nM,39.0,359.4740000000003,7.4089353929735005
CHEMBL1082708,N#C[C@@H]1CCCN1C(=O)CN[C@@H]1C[C@@H]2CN(C(=O)N3CCCCC3)C[C@@H]2C1,IC50,nM,69.0,373.5010000000003,7.161150909262744
CHEMBL1082716,N#C[C@@H]1CCCN1C(=O)CN[C@@H]1C[C@@H]2CN(C(=O)N3CCOCC3)C[C@@H]2C1,IC50,nM,50.0,375.4730000000003,7.301029995663981
CHEMBL1082973,CN(C)C(=O)O[C@H]1C[C@H]2C[C@@H](NCC(=O)N3CCC[C@H]3C#N)C[C@H]2C1.Cl,IC50,nM,65.0,384.9080000000001,7.187086643357144
CHEMBL1082974,CCN(CC)C(=O)O[C@H]1C[C@H]2C[C@@H](NCC(=O)N3CCC[C@H]3C#N)C[C@H]2C1.Cl,IC50,nM,80.0,412.96200000000016,7.096910013008056
CHEMBL1082996,C#C[C@@H]1C[C@H](F)CN1C(=O)CC(C)(C)CC(=O)N[C@H]1C[C@@H]1c1cccc(Cl)c1,IC50,nM,15.0,404.9130000000001,7.823908740944319
CHEMBL1082997,CC(C)(CC(=O)N1CCCC1)NCC(=O)N1CCC[C@H]1C#N,IC50,nM,71.0,306.41,7.1487416512809245
CHEMBL1083031,COC(=O)N1C[C@H]2C[C@@H](NCC(=O)N3CCC[C@H]3C#N)C[C@H]2C1,IC50,nM,24.0,320.39300000000003,7.619788758288394
CHEMBL1083032,N#C[C@@H]1CCCN1C(=O)CN[C@@H]1C[C@@H]2CN(C(=O)CO)C[C@@H]2C1,IC50,nM,14.0,320.39300000000014,7.853871964321762
CHEMBL1083287,CN(C)C(=O)N1C[C@@H]2C[C@](C)(NCC(=O)N3CCC[C@H]3C#N)C[C@@H]2C1,IC50,nM,13.0,347.46300000000014,7.886056647693163
CHEMBL1083588,CN(C)C(=O)N1C[C@@H]2C[C@@](C)(NCC(=O)N3CCC[C@H]3C#N)C[C@@H]2C1,IC50,nM,13.0,347.46300000000014,7.886056647693163
